model,trial,val_ndcg5,learning_rate,num_leaves,max_depth,min_child_samples,bagging_fraction,feature_fraction,lambda_l2,min_gain_to_split,eta,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
lgbm,0,0.40240109627895815,0.023688639503640783,122.0,10,124.0,0.5780093202212182,0.5779972601681014,0.0019517224641449498,0.8661761457749352,,,,,,,
lgbm,1,0.3986326931923649,0.039913058785616795,95.0,4,195.0,0.9162213204002109,0.6061695553391381,0.008111941985431923,0.18340450985343382,,,,,,,
lgbm,2,0.40641899167613055,0.02014847788415866,74.0,7,65.0,0.8059264473611898,0.569746930326021,0.028888383623653185,0.3663618432936917,,,,,,,
lgbm,3,0.40499152418506884,0.028580510658069373,103.0,5,108.0,0.7962072844310213,0.5232252063599989,1.0907475835157694,0.17052412368729153,,,,,,,
lgbm,4,0.4052814775213352,0.011615865989246453,122.0,12,164.0,0.6523068845866853,0.5488360570031919,2.6373339933815263,0.4401524937396013,,,,,,,
lgbm,5,0.3953868227307925,0.01324458134009936,70.0,4,183.0,0.6293899908000085,0.831261142176991,0.03618723330959624,0.5200680211778108,,,,,,,
lgbm,6,0.40016260439047047,0.03521358805467869,35.0,12,158.0,0.9697494707820946,0.9474136752138245,0.9761125443110454,0.9218742350231168,,,,,,,
lgbm,7,0.3918079703403673,0.012260057359187526,37.0,4,72.0,0.6943386448447411,0.6356745158869479,13.921548533046499,0.3567533266935893,,,,,,,
lgbm,8,0.3974500889659053,0.01909565280104538,76.0,5,163.0,0.5372753218398854,0.9934434683002586,7.264803074826729,0.1987156815341724,,,,,,,
lgbm,9,0.39890955739649436,0.010127963257331486,107.0,10,149.0,0.8856351733429728,0.5370223258670452,0.061991000078022655,0.11586905952512971,,,,,,,
lgbm,10,0.4013814296888326,0.07345826365245836,15.0,7,13.0,0.7846562513261506,0.721539898400351,62.92942010319501,0.6668582750825782,,,,,,,
lgbm,11,0.3998516623255664,0.017273441521260237,127.0,8,61.0,0.7018012731971806,0.6994762507327695,0.23097768979889874,0.4280118461055233,,,,,,,
lgbm,12,0.40399455182891286,0.01675925421433081,70.0,12,64.0,0.8265015800721067,0.5046555777845694,0.22055966549515177,0.607440669797056,,,,,,,
lgbm,13,0.4010594875390322,0.050253069663926536,85.0,7,35.0,0.6541754319324896,0.8304278626461434,4.513947581687317,0.33317605225699914,,,,,,,
lgbm,14,0.402379662955498,0.023170463924534365,53.0,10,94.0,0.7408524156576866,0.651723150444279,0.018063138841074265,0.013940446246895166,,,,,,,
lgbm,15,0.40038753207884914,0.012832337688286203,113.0,9,130.0,0.8524635413007553,0.8013123222722462,0.001493173421273959,0.7946453641120891,,,,,,,
lgbm,16,0.3992622764641283,0.010256263953376903,55.0,7,88.0,0.5077551909971136,0.5669390895619841,0.8666852115638992,0.3173915276655117,,,,,,,
lgbm,17,0.3971166566360432,0.08681928619725807,91.0,11,42.0,0.6205291332823097,0.6707750474677462,0.09910672638518252,0.5234783981846921,,,,,,,
lgbm,18,0.40356571911446504,0.015544544370319551,51.0,8,122.0,0.7372898166892035,0.7533881284358336,94.70979795558252,0.671236967350552,,,,,,,
lgbm,19,0.4035482957934348,0.02291059128116683,115.0,6,10.0,0.9489115808853676,0.5852306392660565,0.004754791470504515,0.43502310313137715,,,,,,,
lgbm,20,0.39915141280383504,0.029865515671823675,81.0,11,177.0,0.7086421037028057,0.8787943061604515,2.518008329703738,0.2737087082323125,,,,,,,
lgbm,21,0.4057947885378283,0.02842238616445537,101.0,6,108.0,0.805716506718728,0.5012510242797994,0.8061364162909862,0.09692896757320847,,,,,,,
lgbm,22,0.4058965237196678,0.04564506633697517,101.0,6,137.0,0.7812641970709419,0.504864230090552,23.483250142316944,0.005095209448090832,,,,,,,
lgbm,23,0.40853380475614504,0.05069080523065457,98.0,6,138.0,0.7965104357527382,0.5069157601434401,18.180142510517367,0.04383854332234899,,,,,,,
lgbm,24,0.40645344142714146,0.05501809999738193,92.0,6,141.0,0.8574872508515546,0.6155540493284477,28.04026394317936,0.0175297113591739,,,,,,,
